,xwindows,forsale,cryptology,politics,christianity,guns,mideastpolitics,medicine,mswindows,pc,autos,graphics,hockey,mac,space,baseball,religion,electronics,atheism,motorcycles
xwindows,290,3,2,0,0,1,0,1,17,10,0,62,0,3,3,0,0,0,0,0
forsale,0,321,0,1,0,0,0,1,3,34,8,2,1,9,1,1,0,5,0,3
cryptology,1,2,375,1,0,5,0,1,2,1,1,4,0,2,0,0,0,1,0,0
politics,0,0,3,176,0,105,3,1,0,0,1,2,0,2,10,0,2,1,4,0
christianity,1,2,1,1,361,2,0,4,1,0,0,3,2,1,3,0,7,0,8,1
guns,1,1,5,7,0,339,1,2,0,0,0,1,0,0,2,0,4,0,0,1
mideastpolitics,0,2,5,15,1,6,330,0,0,0,1,1,2,1,0,1,1,0,9,1
medicine,0,3,0,6,2,6,2,349,0,3,3,7,0,2,4,0,0,5,3,1
mswindows,14,5,1,4,0,0,0,0,266,46,0,34,2,11,4,2,4,1,0,0
pc,0,8,1,0,0,0,0,0,24,304,1,10,1,22,1,0,0,20,0,0
autos,0,12,1,3,0,1,0,0,1,0,354,2,1,0,2,1,1,7,0,9
graphics,11,3,10,0,0,0,0,0,4,9,0,332,1,8,7,0,0,4,0,0
hockey,0,2,1,1,0,0,0,1,0,0,0,0,388,0,2,2,0,1,1,0
mac,0,8,2,0,0,1,0,3,13,25,3,11,0,301,4,1,0,13,0,0
space,2,0,2,4,0,0,1,3,0,0,0,11,0,1,365,0,0,4,1,0
baseball,2,8,1,1,1,0,1,0,1,0,0,1,14,0,1,365,0,0,1,0
religion,0,0,0,6,34,20,3,3,1,0,0,4,0,0,6,0,135,0,39,0
electronics,1,14,20,0,0,0,0,4,10,37,3,19,0,5,2,0,0,272,1,5
atheism,1,0,1,3,19,7,5,3,0,0,0,0,1,0,5,0,25,1,245,3
motorcycles,0,3,0,1,0,0,0,0,0,0,9,0,0,0,1,2,0,1,0,381
