Recall: '82.15%'
Precision: '83.29%'
F1: '41.36%'
Misclassification Rate: '16.99%'

Classes Guesses 

atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism religion
atheism mideastpolitics
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism christianity
atheism atheism
atheism christianity
atheism atheism
atheism atheism
atheism atheism
atheism christianity
atheism atheism
atheism atheism
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism medicine
atheism medicine
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism motorcycles
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism cryptology
atheism religion
atheism christianity
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism space
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism christianity
atheism atheism
atheism christianity
atheism atheism
atheism atheism
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism guns
atheism atheism
atheism atheism
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism guns
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism guns
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism christianity
atheism religion
atheism atheism
atheism mideastpolitics
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism christianity
atheism atheism
atheism christianity
atheism atheism
atheism christianity
atheism xwindows
atheism electronics
atheism atheism
atheism politics
atheism guns
atheism guns
atheism guns
atheism mideastpolitics
atheism atheism
atheism religion
atheism atheism
atheism christianity
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism mideastpolitics
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism religion
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism space
atheism atheism
atheism atheism
atheism atheism
atheism atheism
atheism hockey
atheism atheism
atheism atheism
atheism atheism
atheism atheism
